('mincepies', 'books/book1|1')
('beer', 'books/book1|1')
('sir', 'books/book2|6 books/book1|1')
('coverley', 'books/book1|1')
('good', 'books/book2|2 books/book1|1 books/book3|8')
('stiff', 'books/book1|1')
('cut', 'books/book1|1')
('pair', 'books/book1|1')
('partners', 'books/book1|1')
('people', 'books/book2|1 books/book1|2 books/book3|7')
('trifled', 'books/book1|1')
('notion', 'books/book1|1')
('timesold', 'books/book1|1')
('so', 'books/book2|5 books/book1|6 books/book3|8')
('she', 'books/book2|2 books/book1|3 books/book3|2')
('worthy', 'books/book1|1')
('partner', 'books/book1|2')
('term', 'books/book1|1')
('positive', 'books/book1|1')
('appeared', 'books/book1|2 books/book3|3')
('issue', 'books/book1|1')
('shone', 'books/book1|1')
('part', 'books/book1|1 books/book3|1')
('em', 'books/book2|2 books/book1|2')
('next', 'books/book2|2 books/book1|1')
('retire', 'books/book1|1')
('turn', 'books/book1|1 books/book3|1')
('bow', 'books/book1|1')
('cockscrew', 'books/book1|1')
('thread', 'books/book1|1')
('placefezziwig', 'books/book1|1')
('legs', 'books/book2|1 books/book1|1')
('eleven', 'books/book1|1')
('ball', 'books/book1|1')
('took', 'books/book1|1')
('their', 'books/book1|2 books/book3|13')
('either', 'books/book1|1 books/book3|1')
('wished', 'books/book1|1')
('everybody', 'books/book1|1')
('prentices', 'books/book1|1')
('did', 'books/book2|7 books/book1|1 books/book3|8')
('thus', 'books/book2|1 books/book1|1 books/book3|1')
('died', 'books/book1|1')
('shop', 'books/book1|1')
('small', 'books/book1|1')
('matter', 'books/book1|2')
('make', 'books/book2|1 books/book1|2 books/book3|2')
('these', 'books/book2|2 books/book1|1 books/book3|2')
('folks', 'books/book1|1')
('gratitude', 'books/book1|1')
('has', 'books/book1|4 books/book3|1')
('spent', 'books/book1|1 books/book3|1')
('few', 'books/book1|1 books/book3|1')
('pounds', 'books/book1|1')
('perhaps', 'books/book2|2 books/book1|1 books/book3|1')
('praise', 'books/book1|1')
('isnt', 'books/book1|2')
('remark', 'books/book1|1')
('speaking', 'books/book1|1')
('unconsciously', 'books/book1|1')
